Generation,Fitness,R2,Complexity,Equation
0,3.4300372359427658,0.10648468984149406,4,2.12490006228324*sqrt(x1)
1,3.0036420558309436,0.22450586674741368,15,0.600863455971076*x1 + 0.598260285271476*x2
2,0.8275081498306053,0.7666010573125296,8,sqrt(x1*x2*(-theta1 + theta2))
3,0.8275081498306053,0.7666010573125296,8,sqrt(x1*x2*(-theta1 + theta2))
4,0.4730413862194947,0.8688114495720096,10,1.17171107332438*sqrt(-x1*x2*(-theta1 + theta2))
5,0.45236021018503964,0.8738691775648166,16,sqrt(x1*(-theta1 + theta2)*(0.148286940151068*x1 + 1.20378166561271*x2))
6,0.4521997148166178,0.8748720782400543,16,sqrt(x2*(-theta1 + theta2)*(1.1783539818655*x1 + 0.162313555715218*x2))
7,0.3365841461614,0.906260759672749,24,sqrt((-theta1 + theta2)*(0.553353724396938*x1 + 0.519682879708184*x2)*(0.564930229181343*x1 + 0.643921654187255*x2))
8,0.33581267402982207,0.9063166320531091,34,sqrt((-theta1 + theta2)*(0.509550330702632*x1 + 0.506485130206565*x2)*(0.636840064644941*x1 + 0.632605590105476*x2))
9,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
10,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
11,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
12,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
13,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
14,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
15,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
16,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
17,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
18,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
19,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
20,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
21,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
22,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
23,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
24,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
25,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
26,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
27,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
28,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
29,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
30,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
31,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
32,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
33,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
34,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
35,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
36,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
37,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
38,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
39,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
40,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
41,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
42,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
43,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
44,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
45,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
46,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
47,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
48,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
49,0.3358123780178158,0.9063174446531781,24,sqrt((-theta1 + theta2)*(0.569352469603414*x1 + 0.566308435569238*x2)**2)
