Generation,Fitness,R2,Complexity,Equation
0,8.28725655247025e-05,0.9838118270464586,5,exp(-1.4037577595531*theta)
1,4.1325295269855985e-05,0.99184135836924,18,-0.142766100170226 + 0.408514579141049/theta
2,7.1901837695737675e-06,0.9986064512031849,12,2.77306217350433*log(0.464064516106904*sqrt(theta) - 1.81006953958952)**2
3,1.9505109222283773e-06,0.9996211922808264,29,0.0722500003473384 + 0.253107763106829*sin(sin(theta - 1.85628634882028))/theta
4,1.24550344193869e-06,0.9997597117571522,36,0.0738281548196092 + 0.251932804518813*sin(sin(theta - 1.84585796752526))/theta
5,5.428481178690699e-07,0.9998906174253773,16,4.07017489394146*theta**2*exp(-2.55128849535101*theta)*log(0.408581162761849*theta - 2.52853433475)
6,5.428481178690699e-07,0.9998906174253773,16,4.07017489394146*theta**2*exp(-2.55128849535101*theta)*log(0.408581162761849*theta - 2.52853433475)
7,5.231592569464723e-07,0.9998949706959108,18,4.04216210306728*theta**2*exp(-2.54769261523613*theta)*log(0.409155279808596*theta - 2.53256248003972)
8,5.229143417215651e-07,0.9998950121896873,18,4.04077218884219*theta**2*exp(-2.54795761047586*theta)*log(0.409296416542769*theta - 2.53373695751478)
9,1.4028623532975336e-07,0.9999722157863642,21,1.87397400566305*theta**2*exp(-2.2296459076507*theta)*log((6.26285322079973 - theta)/log(-4.91974769344996*theta))
10,1.4028623532975336e-07,0.9999722157863642,21,1.87397400566305*theta**2*exp(-2.2296459076507*theta)*log((6.26285322079973 - theta)/log(-4.91974769344996*theta))
11,1.1700144351063473e-07,0.9999770702579642,21,1.86164123374509*theta**2*exp(-2.21313197458311*theta)*log((6.19331836005352 - theta)/log(-4.91902998773255*theta))
12,1.1678471403614908e-07,0.9999770984325923,19,1.86178801930563*theta**2*exp(-2.21372615927966*theta)*log((6.19492105796249 - theta)/log(-4.91613858182132*theta))
13,1.1660345176800106e-07,0.9999771145627055,19,1.86226172051773*theta**2*exp(-2.21460101923956*theta)*log((6.19864399857874 - theta)/log(-4.91549062851191*theta))
14,1.1660345176800106e-07,0.9999771145627055,19,1.86226172051773*theta**2*exp(-2.21460101923956*theta)*log((6.19864399857874 - theta)/log(-4.91549062851191*theta))
15,1.1660188821838314e-07,0.9999771123095831,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91554077940393*theta))
16,1.1660188821838314e-07,0.9999771123095831,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91554077940393*theta))
17,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
