record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.6.2b,0.0,0,hybrid,hybrid,0,0.0013142210755219376,4.7570431331275476e+170,-7.370069562212125,,,0.0511275372490636*I/sigma,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,1,0.0011230258866907644,0.011363103297281161,-271.32493537729636,,,0.988190702352012*I/(0.416725062279314 - sigma),
gen_log,I.6.2b,0.0,0,hybrid,hybrid,2,0.0011218572468389553,0.003345360393899211,-2.8263032311240264,,,0.988190702352012*I*(0.416725062279314 - sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,3,0.0011207163728652635,0.00210118396737429,-4777970.662334436,,,-423.249730221027*I*(0.416725062279314 - sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,4,0.0011207163728652635,0.003288944192784383,-4777970.662334436,,,-423.249730221027*I*(0.416725062279314 - sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,5,0.0011207163728652635,2200.5902526046802,-4777970.662334436,,,-423.249730221027*I*(0.416725062279314 - sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,6,0.0011206562034830785,0.002453781850673044,-1261032.8557564581,,,-217.129462737879*(0.416725062279314 - sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,7,0.0011183328104185976,0.0026626370038956653,-33099998947.50059,,,0.988190702352012*I*(-sigma - 217.129462737879/sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,8,0.0011183328104185976,0.0023903369991297874,-33099998947.50059,,,0.988190702352012*I*(-sigma - 217.129462737879/sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,9,0.001118324491470879,0.0024065777523524586,-8710876198.429756,,,0.506947319664469*(-sigma - 217.129462737879/sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,10,0.0011183240110291914,0.0020914239347468414,-1859629012961.7651,,,-7.40685421274312*I*(-sigma - 217.129462737879/sigma)**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,11,0.0011183137789295308,0.001683389377891951,-4.0699501652356465e+19,,,0.988190702352012*I*(-sigma - 217.129462737879/sigma)**4/sigma**5,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,12,0.0011183058077470739,0.0019940262753569116,-1.5464823082457386e+20,,,-1.92627680694966*(-sigma - 217.129462737879/sigma)**4/sigma**5,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,13,0.001115027199630956,0.0016880756009159943,-816096497.9271598,,,0.988190702352012*I*(-sigma - 217.129462737879/(sigma + theta1))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,14,0.001115027199630956,0.0017274968994502142,-816096497.9271598,,,0.988190702352012*I*(-sigma - 217.129462737879/(sigma + theta1))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,15,0.0011136221792255052,0.0016137488094051778,-282930294.6327252,,,0.707785721722826*sqrt(I)*(-sigma - 217.129462737879/(sigma*theta1 + sqrt(theta1) - 1.29315466113056e-8))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,16,0.0011021548154240698,0.0017566236506471658,-18989291.973584007,,,-1.92627680694966*(-sigma - 217.129462737879/(sqrt(sigma) + sigma*((-sigma - 217.129462737879/(sigma + theta1))**2/sigma**2)**(1/4) + sqrt(sin(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,17,0.0008206380508548082,0.0015490700489467616,-1.7553280326003113,,,0.707785721722826*sqrt(I)*(-sigma + 0.707785721722826*sqrt(I)/(sigma*(exp(cos(0.912748094538613 - theta1/theta)) - 0.54055934089637*log(log(4.09711322487326*sigma)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,18,0.0008154905107150751,0.0011400817519014086,-1.775490433802132,,,0.707785721722826*sqrt(I)*(-sigma + 0.707785721722826*sqrt(I)/(sigma*(exp(cos(0.999999987068453 - theta1/theta)) - 0.54055934089637*log(log(4.09711322487326*sigma)))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,19,0.0006578902619560533,0.0013610656347996834,0.621292569566556,,,0.703594083765779*sqrt(-1/sigma)*(-sigma + 0.707785721722826*sqrt(I)/(sigma*(exp(cos(0.912748094538613 - theta1/theta)) - 0.54055934089637*log(log(4.09711322487326*sigma)))))**2/sigma**3,
